dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.500000,16.000000,0.000100,0.020000,2.000000,200.000000,0.000000
0.010000,6.500000,16.000000,0.000100,0.000000,-2.000000,-400.000000,0.000000
0.010000,6.500000,16.000000,0.000100,0.000000,0.000000,200.000000,0.000000
0.010000,6.500000,16.000000,0.000100,0.000000,0.000000,0.000000,0.000000
0.010000,6.502400,16.000000,0.002500,0.240000,24.000000,2400.000000,0.000000
0.010000,6.505600,16.000000,0.005700,0.320000,8.000000,-1600.000000,0.000000
0.010000,6.509600,16.000000,0.009700,0.400000,8.000000,-0.000000,0.000000
0.010000,6.514400,16.000000,0.014500,0.480000,8.000000,0.000000,0.000000
0.010000,6.520000,16.000000,0.020100,0.560000,8.000000,-0.000000,0.000000
0.010000,6.526400,16.000000,0.026500,0.640000,8.000000,0.000000,0.000000
0.010000,6.533600,16.000000,0.033700,0.720000,8.000000,-0.000000,0.000000
0.010000,6.541600,16.000000,0.041700,0.800000,8.000000,0.000000,0.000000
0.010000,6.550400,16.000000,0.050500,0.880000,8.000000,0.000000,0.000000
0.010000,6.560000,16.000000,0.060100,0.960000,8.000000,0.000000,0.000000
0.010000,6.570400,16.000000,0.070500,1.040000,8.000000,0.000000,0.000000
0.010000,6.581600,16.000000,0.081700,1.120000,8.000000,-0.000000,0.000000
0.010000,6.593600,16.000000,0.093700,1.200000,8.000000,0.000000,0.000000
0.010000,6.606400,16.000000,0.106500,1.280000,8.000000,-0.000000,0.000000
0.010000,6.620000,16.000000,0.120100,1.360000,8.000000,0.000000,0.000000
0.010000,6.634400,16.000000,0.134500,1.440000,8.000000,-0.000000,0.000000
0.010000,6.649600,16.000000,0.149700,1.520000,8.000000,-0.000000,0.000000
0.010000,6.665600,16.000000,0.165700,1.600000,8.000000,0.000000,0.000000
0.010000,6.682400,16.000000,0.182500,1.680000,8.000000,-0.000000,0.000000
0.010000,6.700000,16.000000,0.200100,1.760000,8.000000,0.000000,0.000000
0.010000,6.718400,16.000000,0.218500,1.840000,8.000000,-0.000000,0.000000
0.010000,6.737600,16.000000,0.237700,1.920000,8.000000,0.000000,0.000000
0.010000,6.757600,16.000000,0.257700,2.000000,8.000000,0.000000,0.000000
0.010000,6.778400,16.000000,0.278500,2.080000,8.000000,-0.000000,0.000000
0.010000,6.800000,16.000000,0.300100,2.160000,8.000000,0.000000,0.000000
0.010000,6.822400,16.000000,0.322500,2.240000,8.000000,-0.000000,0.000000
0.010000,6.845600,16.000000,0.345700,2.320000,8.000000,0.000000,0.000000
0.010000,6.869600,16.000000,0.369700,2.400000,8.000000,0.000000,0.000000
0.010000,6.894400,16.000000,0.394500,2.480000,8.000000,0.000000,0.000000
0.010000,6.920000,16.000000,0.420100,2.560000,8.000000,0.000000,0.000000
0.010000,6.946400,16.000000,0.446500,2.640000,8.000000,0.000000,0.000000
0.010000,6.973600,16.000000,0.473700,2.720000,8.000000,0.000000,0.000000
0.010000,7.001600,16.000000,0.501700,2.800000,8.000000,0.000000,0.000000
0.010000,7.030400,16.000000,0.530500,2.880000,8.000000,-0.000000,0.000000
0.010000,7.060000,16.000000,0.560100,2.960000,8.000000,-0.000000,0.000000
0.010000,7.090400,16.000000,0.590500,3.040000,8.000000,0.000000,0.000000
0.010000,7.121600,16.000000,0.621700,3.120000,8.000000,-0.000000,0.000000
0.010000,7.153600,16.000000,0.653700,3.200000,8.000000,-0.000000,0.000000
0.010000,7.186400,16.000000,0.686500,3.280000,8.000000,0.000000,0.000000
0.010000,7.220000,16.000000,0.720100,3.360000,8.000000,-0.000000,0.000000
0.010000,7.254400,16.000000,0.754500,3.440000,8.000000,0.000000,0.000000
0.010000,7.289600,16.000000,0.789700,3.520000,8.000000,0.000000,0.000000
0.010000,7.325600,16.000000,0.825700,3.600000,8.000000,-0.000000,0.000000
0.010000,7.362400,16.000000,0.862500,3.680000,8.000000,0.000000,0.000000
0.010000,7.400000,16.000000,0.900100,3.760000,8.000000,0.000000,0.000000
0.010000,7.438400,16.000000,0.938500,3.840000,8.000000,-0.000000,0.000000
0.010000,7.477600,16.000000,0.977700,3.920000,8.000000,-0.000000,0.000000
0.010000,7.517600,16.000000,1.017700,4.000000,8.000000,0.000000,0.000000
0.010000,7.558400,16.000000,1.058500,4.080000,8.000000,-0.000000,0.000000
0.010000,7.600000,16.000000,1.100100,4.160000,8.000000,0.000000,0.000000
0.010000,7.642400,16.000000,1.142500,4.240000,8.000000,-0.000000,0.000000
0.010000,7.685600,16.000000,1.185700,4.320000,8.000000,0.000000,0.000000
0.010000,7.729600,16.000000,1.229700,4.400000,8.000000,0.000000,0.000000
0.010000,7.774400,16.000000,1.274500,4.480000,8.000000,-0.000000,0.000000
0.010000,7.820000,16.000000,1.320100,4.560000,8.000000,0.000000,0.000000
0.010000,7.866400,16.000000,1.366500,4.640000,8.000000,-0.000000,0.000000
0.010000,7.913600,16.000000,1.413700,4.720000,8.000000,0.000000,0.000000
